feature	coefficient
dr_sleep0	-0.12839153408351286
dr_sleep1	0.1283852403649807
sleepy4	0.09358943867736673
sleepy1	-0.0786863726405867
ratio_income	-0.06690288067264129
sleepy3	0.06235328173632254
weight_self_percept3	-0.051541505092671434
female1	0.046030760985639636
female0	-0.046028366518194565
vigor_rec0	0.04558018739642281
vigor_rec1	-0.04557780830541824
sleep_weekday	-0.04391774799245976
now_smoke1	0.03740494948630074
sleepy2	-0.035315095377581214
age	-0.033179063430575056
race4	-0.02915088994606531
sleep_weekend	-0.02869592623103991
told_copd0	-0.028391144773492624
told_copd1	0.02839016956173081
now_smoke3	-0.027756847855590547
race7	0.027248287223718384
edu2	0.027025599825593376
weight_self_percept1	0.025802721643838372
now_reduce_salt0	0.02014217831342075
now_reduce_salt1	-0.02013520952029101
marriage_status1	-0.018948292543570465
told_stroke0	-0.01457573779107398
told_stroke1	0.01457471968794194
race6	-0.014318328977789598
weight_self_percept2	0.012939517235585835
want_lose_weight3	-0.012650311063476381
told_liver1	-0.012026455920659812
told_liver0	0.01202566916549409
dr_highbp0	-0.011949049165146722
dr_highbp1	0.01194582701852116
told_thyroid0	-0.010839776596905853
told_thyroid1	0.010838506237941409
moderate_work1	0.009537679434151595
moderate_work0	-0.009536907380028546
edu3	-0.008149293554083017
now_reduce_fat0	0.007499533700265835
now_reduce_fat1	-0.00749017182021149
marriage_status2	0.005326979274368248
race3	0.004071284272287493
now_increase_ex0	-0.0024159620934209743
now_increase_ex1	0.0024157912155891473
told_weight1	0.00223655295083739
told_weight0	-0.0022304624367979267
now_lose_weight0	-9.383684476802683e-4
now_lose_weight1	9.365833956775891e-4
told_exe0	-1.5108880061657647e-4
told_exe1	1.501857757766098e-4
